GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,es.jipfdigital.library.dominio.controladores,GestorPedidos,2,382,3,19,1,89,3,18,0,10
library,es.jipfdigital.library.dominio.controladores,GestorClientes,12,60,1,1,3,12,2,3,1,3
library,es.jipfdigital.library.dominio.controladores,GestorRepartidor,7,273,2,20,2,67,3,15,1,6
library,es.jipfdigital.library.dominio.controladores,GestorRestaurantes,20,378,4,34,4,88,4,27,0,12
library,es.jipfdigital.library.dominio.controladores,GestorUsuario,20,336,9,49,5,78,12,31,3,10
library,es.jipfdigital.library.dominio.entidades,Repartidor,0,55,0,0,0,22,0,10,0,10
library,es.jipfdigital.library.dominio.entidades,Direccion,3,36,0,0,1,14,1,7,1,7
library,es.jipfdigital.library.dominio.entidades,Usuario,28,24,0,0,4,10,3,7,3,7
library,es.jipfdigital.library.dominio.entidades,MetodoPago,0,15,0,0,0,3,0,1,0,1
library,es.jipfdigital.library.dominio.entidades,Cliente,23,69,3,1,5,22,5,9,3,9
library,es.jipfdigital.library.dominio.entidades,CartaMenu,12,55,1,1,2,19,3,9,2,9
library,es.jipfdigital.library.dominio.entidades,Restaurante,47,56,3,1,14,20,11,7,9,7
library,es.jipfdigital.library.dominio.entidades,Pago,31,15,0,0,13,6,9,1,9,1
library,es.jipfdigital.library.dominio.entidades,ItemMenu,20,42,0,0,4,18,4,9,4,9
library,es.jipfdigital.library.dominio.entidades,TipoItemMenu,0,21,0,0,0,4,0,1,0,1
library,es.jipfdigital.library.dominio.entidades,ServicioEntrega,3,32,0,0,1,15,1,9,1,9
library,es.jipfdigital.library.dominio.entidades,Pedido,18,41,0,0,6,20,6,11,6,11
library,es.jipfdigital.library.dominio.entidades,EstadoPedido,0,33,0,0,0,6,0,1,0,1
library,es.jipfdigital.library,ServletInitializer,12,0,0,0,2,0,2,0,2,0
library,es.jipfdigital.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
